"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1400000US06075012100","Census Tract 121; San Francisco County; California","2452","396","311","231","243","231","68","69","52","62","0","13","16","27","0","13","0","13","528","230","357","208","36","42","0","13","105","102","30","38","91","84","0","13","87","101","988","234","87","103","360","157",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","1210","251","111","80","80","71","31","31","17","23","14","22","0","13","0","13","0","13","337","135","267","123","70","65","0","13","0","13","0","13","36","43","17","25","0","13","483","146","38","34","188","142",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","725","210","89","83","89","83","0","13","0","13","0","13","0","13","0","13","0","13","220","159","72","83","71","66","77","124","0","13","0","13","0","13","67","93","44","74","274","153","0","13","31","34",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","1547","362","129","97","107","97","22","34","0","13","22","34","0","13","0","13","0","13","271","168","145","129","74","87","52","50","0","13","0","13","21","32","0","13","102","104","734","233","0","13","290","141",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","746","140","44","47","31","40","13","21","13","21","0","13","0","13","0","13","0","13","327","107","193","79","85","60","49","53","0","13","0","13","0","13","0","13","49","50","249","85","0","13","77","72",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","1555","210","134","62","134","62","0","13","0","13","0","13","0","13","0","13","0","13","376","140","234","105","77","72","65","38","0","13","0","13","90","66","0","13","58","54","715","192","0","13","182","85",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","1112","313","266","166","205","140","61","100","0","13","61","100","0","13","0","13","0","13","485","179","421","179","41","69","0","13","23","38","0","13","0","13","41","67","22","32","184","110","25","40","89","102",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","1182","307","56","65","56","65","0","13","0","13","0","13","0","13","0","13","0","13","559","220","469","201","80","85","0","13","10","20","0","13","0","13","0","13","159","167","319","196","89","95","0","13",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","2690","444","386","170","377","167","9","15","9","15","0","13","0","13","0","13","0","13","763","252","422","197","287","148","31","37","23","35","0","13","33","46","0","13","62","53","536","226","0","13","910","451",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","725","228","87","60","87","60","0","13","0","13","0","13","0","13","0","13","0","13","161","118","141","115","8","14","12","20","0","13","0","13","0","13","0","13","31","34","353","174","0","13","93","89",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","1643","660","276","205","276","205","0","13","0","13","0","13","0","13","0","13","0","13","626","299","565","288","22","37","39","44","0","13","0","13","0","13","0","13","16","25","603","410","49","80","73","92",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","1767","483","246","163","242","162","4","12","0","13","0","13","0","13","0","13","4","12","569","252","457","238","87","88","25","39","0","13","0","13","22","37","0","13","22","36","713","317","15","24","180","181",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","205","150","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","160","139","116","99","11","18","33","53","0","13","0","13","0","13","0","13","17","27","0","13","0","13","28","49",
